,movies_title,director,vote_average,release_year,budget,revenue
1091,Dinosaur 13,Todd Douglas Miller,7.0,2014,0,0
1092,"Like Sunday, Like Rain",Frank Whaley,7.4,2014,0,25982
1093,Cesar Chavez,Diego Luna,5.3,2014,9210910,0
1094,Little Accidents,Sara Colangelo,5.0,2014,0,0
1095,Supermensch: The Legend of Shep Gordon,Mike Myers|Beth Aala,7.6,2014,0,0
1096,The Internet's Own Boy: The Story of Aaron Swartz,Brian Knappenberger,7.8,2014,0,0
1097,Almost Home,Todd Wilderman,6.8,2014,0,0
1098,Harmontown,Neil Berkeley,6.9,2014,0,0
1099,El Inventor de Juegos,Juan Pablo Buscarini,4.9,2014,5526546,0
1100,Petals on the Wind,Karen Moncrieff,6.1,2014,0,0
1101,Iron Man & Captain America: Heroes United,Leo Riley,6.2,2014,0,0
1102,Preservation,Christopher Denham,5.1,2014,0,0
1103,My Man is a Loser,Mike Young,4.9,2014,0,0
1104,Virunga,Orlando von Einsiedel,7.9,2014,0,0
1105,Interstellar: Nolan's Odyssey,Dan Storey,7.9,2014,0,0
1106,American Muscle,Ravi Dhar,2.8,2014,0,0
1107,Deep in the Darkness,Colin Theys,4.9,2014,0,0
1108,Jacky au royaume des filles,Riad Sattouf,5.2,2014,0,0
1109,Alien Abduction,Matty Beckerman,4.6,2014,0,0
1110,ì‹ ì˜ í•œ ìˆ˜,Cho Beom-gu,6.8,2014,0,0
1111,The Frame,Jamin Winans,6.1,2014,0,0
1112,Batman: Strange Days,Bruce Timm,7.6,2014,0,0
1113,Boys of Abu Ghraib,Luke Moran,5.9,2014,0,0
1114,Born to Race: Fast Track,Alex Ranarivelo,5.3,2014,0,0
1115,The Falling,Carol Morley,4.8,2014,0,0
1116,Poker Night,Greg Francis,5.5,2014,0,0
1117,I Am Santa Claus,Tommy Avallone,6.2,2014,0,0
1118,Postman Pat: The Movie,Mike Disa,4.9,2014,0,0
1119,Creep,Patrick Brice,5.9,2014,0,0
1120,The Identical,Dustin Marcellino,5.0,2014,11053092,0
1121,Miss Meadows,Karen Leigh Hopkins,4.6,2014,1842182,0
1122,Supremacy,Deon Taylor,5.8,2014,0,0
1123,The Look of Silence,Joshua Oppenheimer,7.8,2014,0,141402
1124,The Outsider,Brian A Miller,4.7,2014,3684364,0
1125,Iris,Albert Maysles,7.5,2014,0,0
1126,Squatters,Martin Weisz,6.7,2014,0,0
1127,The Redwood Massacre,David Ryan Keith,3.8,2014,144298,0
1128,Bird People,Pascale Ferran,5.0,2014,0,0
1129,Ribbit,Mamat Khalid,3.4,2014,0,0
1130,How to Build a Better Boy,Paul Hoen,5.8,2014,0,0
1131,Aloft,Claudia Llosa,5.1,2014,7368728,48897
1132,Jarhead 2: Field of Fire,Don Michael Paul,5.4,2014,0,0
1133,Survivor,John Lyde,4.9,2014,0,0
1134,Seal Team Eight: Behind Enemy Lines,Roel ReinÃ©,4.7,2014,0,0
1135,Ask Me Anything,Allison Burnett,5.4,2014,875036,0
1136,Suburban Gothic,Richard Bates Jr.,5.1,2014,0,0
1137,Welcome to New York,Abel Ferrara,5.5,2014,0,0
1138,An Honest Liar,Tyler Measom|Justin Weinstein,7.1,2014,0,0
1139,Heavenly Sword,Gun Ho Jang,5.8,2014,5526546,0
1140,JLA Adventures: Trapped in Time,Giancarlo Volpe,5.8,2014,0,0
1141,Enchanted Kingdom,Patrick Morris|Neil Nightingale,5.2,2014,16,0
1142,Kristy,Olly Blackburn,6.1,2014,6355528,0
1143,I Am Soldier,Ronnie Thompson,5.2,2014,0,0
1144,Desert Dancer,Richard Raymond,6.5,2014,0,0
1145,See No Evil 2,Jen Soska|Sylvia Soska,4.1,2014,0,0
1146,Queen and Country,John Boorman,6.0,2014,0,0
1147,Goodbye to All That,Angus MacLachlan,5.2,2014,0,0
1148,Northern Soul,Elaine Constantine,4.7,2014,0,0
1149,Doctor Who: Last Christmas,Paul Wilmshurst,7.9,2014,0,0
1150,Lilting,Hong Khaou,7.1,2014,0,0
1151,Fear Clinic,Robert Hall,4.1,2014,0,0
1152,School Dance,Nick Cannon,6.5,2014,0,0
1153,Valley Uprising,Josh Lowell|Peter Mortimer|Nick Rosen,7.9,2014,0,0
1154,9 Kisses,Elaine Constantine,6.8,2014,0,0
1155,In My Dreams,Kenny Leon,6.3,2014,0,0
1156,Julia,Matthew A. Brown,4.8,2014,0,2496
1157,Perfect Sisters,Stanley M. Brooks,5.5,2014,0,0
1158,Ironclad 2: Battle for Blood,Jonathan English,5.3,2014,0,0
1159,Jackass Presents: Bad Grandpa .5,Jeff Tremaine,5.8,2014,0,0
1160,Dark Was the Night,Jack Heller,5.2,2014,0,0
1161,Asthma,Jake Hoffman,6.5,2014,0,0
1162,Saint Laurent,Bertrand Bonello,5.8,2014,0,0
1163,Street Fighter: Assassin's Fist,Joey Ansah,6.4,2014,0,0
1164,Jamie Marks Is Dead,Carter Smith,5.9,2014,0,0
1165,The Device,Jeremy Berg,3.3,2014,0,0
1166,WolfCop,Lowell Dean,4.5,2014,0,0
1167,At the Devil's Door,Nicholas McCarthy,4.7,2014,0,0
1168,Roger Waters: The Wall,Sean Evans|Roger Waters,6.9,2014,0,0
1169,Kelly & Cal,Jen McGowan,5.9,2014,0,0
1170,Cat Run 2,John Stockwell,4.3,2014,0,0
1171,The Remaining,Casey La Scala,4.3,2014,0,1077310
1172,Apocalypse Pompeii,Ben Demaree,5.3,2014,0,0
1173,The Search for General Tso,Ian Cheney,6.9,2014,0,0
1174,Take Care,Liz Tuccillo,5.6,2014,0,0
1175,Low Down,Jeff Preiss,4.8,2014,0,0
1176,The Prophet,Roger Allers,7.3,2014,0,0
1177,JohnnyExpress,Kyungmin Woo,7.8,2014,0,0
1178,Sharktopus vs Pteracuda,Kevin O'Neill,3.7,2014,0,0
1179,Mrs. Brown's Boys D'Movie,Ben Kellett,5.2,2014,5434437,21185094
1180,Listen Up Philip,Alex Ross Perry,5.9,2014,0,0
1181,Iverson,Zatella Beatty,7.2,2014,0,0
1182,The Road Within,Gren Wells,6.9,2014,0,0
1183,Ascension,Mairzee Almas|Nick Copus|Robert Lieberman,5.5,2014,0,0
1184,Dans la cour,Pierre Salvadori,4.9,2014,0,0
1185,Crawl or Die,Oklahoma Ward,4.6,2014,0,0
1186,Red Army,Gabe Polsky,7.2,2014,0,0
1187,Whitey: United States of America v. James J. Bulger,Joe Berlinger,6.0,2014,0,0
1188,The Living,Jack Bryan,4.6,2014,460545,0
1189,Rosewater,Jon Stewart,6.6,2014,0,0
1190,Last Days in Vietnam,Rory Kennedy,5.9,2014,0,0
1191,ç­‰ä¸€å€‹äººå’–å•¡,Chiang Chin-Lin,6.4,2014,0,0
1192,Two Men in Town,Rachid Bouchareb,6.1,2014,0,0
1193,Hyena,Gerard Johnson,4.7,2014,0,0
1194,Finders Keepers,Alexander Yellen,4.8,2014,0,0
1195,Trailer Park Boys: Don't Legalize It,Mike Clattenburg,5.6,2014,0,0
1196,Elephant Song,Charles BinamÃ©,7.4,2014,0,0
1197,Teen Lust,Blaine Thurier,4.3,2014,0,0
1198,The Little Rascals Save the Day,Alex Zamm,5.4,2014,7368728,0
1199,Nowhere Safe,Brian Brough,5.7,2014,0,0
1200,Black Mirror: White Christmas,Carl Tibbetts,8.8,2014,0,0
1201,Animal,Brett Simmons,4.5,2014,0,0
1202,We'll Never Have Paris,Simon Helberg|Jocelyn Towne,4.8,2014,0,0
1203,Free to Play,,7.0,2014,138163,0
1204,They Came Together,David Wain,5.2,2014,0,0
1205,Jersey Shore Massacre,Paul Tarnopol,2.4,2014,1289527,0
1206,The Story of Frozen: Making a Disney Animated Classic,Rudy Bednar,7.2,2014,0,0
1207,Inner Demons,Seth Grossman,3.8,2014,0,0
1208,Cowspiracy: The Sustainability Secret,Kip Anderson|Keegan Kuhn,7.6,2014,107,0
1209,Killer Legends,Joshua Zeman|Rachel Mills,5.4,2014,0,0
1210,Amira & Sam,Sean Mullin,5.9,2014,0,0
1211,Midnight Sun,Roger Spottiswoode,4.9,2014,16579638,0
1212,Grumpy Cat's Worst Christmas Ever,Tim Hill,5.3,2014,0,0
1213,The Hornet's Nest,David Salzberg|Christian Tureaud,6.5,2014,0,0
1214,Viharsarok,ÃdÃ¡m CsÃ¡szi,7.2,2014,0,0
1215,The Mummy Resurrected,Patrick McManus,4.6,2014,0,0
1216,The Wedding Pact,Matt Berman,5.1,2014,0,0
1217,Over the Garden Wall,Nate Cash,7.8,2014,0,0
1218,Alive Inside,Michael Rossato-Bennett,7.7,2014,0,0
1219,Gunday,Ali Zafar,5.9,2014,0,0
1220,The Cut,Fatih Akin,6.9,2014,14737456,0
1221,Rosemary's Baby,Agnieszka Holland,6.1,2014,0,0
1222,Happy Christmas,Joe Swanberg,5.4,2014,0,0
1223,The 7:39,John Alexander,6.5,2014,0,0
1224,The Perfect Wave,Bruce MacDonald,4.5,2014,0,0
1225,Billy Elliot: The Musical,Stephen Daldry|Brett Sullivan,8.1,2014,0,0
1226,Delirium,Rodrigo GarcÃ­a,6.6,2014,0,0
1227,Sex Ed,Isaac Feder,5.1,2014,0,0
1228,The Houses October Built,Bobby Roe,5.4,2014,0,0
1229,Lullaby,Andrew Levitas,5.5,2014,0,0
1230,Marvellous,Julian Farino,7.6,2014,0,0
1231,Hercules Reborn,Nick Lyon,4.1,2014,0,0
1232,Road,Michael Hewitt|Dermot Lavery,7.7,2014,0,0
1233,Party Central,Kelsey Mann,6.9,2014,0,0
1234,Mostly Ghostly: Have You Met My Ghoulfriend?,Peter Hewitt,5.2,2014,0,0
1235,Klondike,Simon Cellan Jones,6.7,2014,0,0
1236,No No: A Dockumentary,Jeffrey Radice,6.7,2014,0,0
1237,Way of the Wicked,Kevin Carraway,4.1,2014,2763273,0
1238,Lust for Love,Anton King,5.3,2014,0,0
1239,Where the Devil Hides,Christian E. Christiansen,4.8,2014,6447637,0
1240,Believe Me,Will Bakke,4.2,2014,0,0
1241,Dance-Off,,5.7,2014,0,0
1242,Jim Jefferies: BARE,Shannon Hartman,7.4,2014,0,0
1243,Bill Burr: I'm Sorry You Feel That Way,Jay Karas,7.5,2014,0,0
1244,The Guvnors,Gabe Turner,5.4,2014,0,0
1245,Nick Offerman: American Ham,Jordan Vogt-Roberts,6.4,2014,0,0
1246,Tell,J.M.R. Luna,5.3,2014,0,0
1247,Night Will Fall,AndrÃ© Singer,7.5,2014,0,0
1248,The Battered Bastards of Baseball,Chapman Way|Maclain Way,7.2,2014,0,0
1249,Jailbait,Jared Cohn,5.1,2014,0,0
1250,The Rise and Rise of Bitcoin,Nicholas Mross,6.8,2014,0,0
1251,Breakup Buddies,Ning Hao,6.0,2014,0,0
1252,CÃ¡sese quien pueda,Marco Polo Constandse,6.7,2014,0,0
1253,Death Clique,Doug Campbell,6.0,2014,1842182,0
1254,Hits,David Cross,4.9,2014,921091,0
1255,All Relative,J.C. Khoury,5.7,2014,0,0
1256,Banksy Does New York,Chris Moukarbel,6.8,2014,0,0
1257,Not Cool,Shane Dawson,4.1,2014,0,0
1258,Merchants of Doubt,Robert Kenner,7.4,2014,0,177217
1259,96 heures,FrÃ©dÃ©ric Schoendoerffer,5.2,2014,0,0
1260,Camp Takota,Chris Riedell|Nick Riedell,6.8,2014,0,0
1261,Swedish House Mafia - Leave the World Behind,Christian Larson,7.6,2014,690818,0
1262,Montana,Mo Ali,6.5,2014,0,0
1263,Atari: Game Over,Zak Penn,6.7,2014,0,0
1264,Indigenous,Alastair Orr,4.6,2014,0,0
1265,Mardaani,Pradeep Sarkar,6.7,2014,0,0
1266,Amour Sur Place ou Ã  Emporter,Amelle Chahbi,5.5,2014,0,0
1267,Wanderers,Erik Wernquist,7.8,2014,0,0
1268,Eden,Mia Hansen-LÃ¸ve,5.4,2014,0,60294
1269,Something Wicked,Darin Scott,4.7,2014,2763273,0
1270,Old Fashioned,Rik Swartzwelder,6.6,2014,0,0
1271,The Fluffy Movie,Manny Rodriguez|Jay Lavender,7.0,2014,0,0
1272,Khoobsurat,Shashanka Ghosh,6.7,2014,0,0
1273,Showrunners: The Art of Running a TV Show,Des Doyle,6.3,2014,0,0
1274,Saints and Soldiers: The Void,Ryan Little,4.9,2014,0,0
1275,Not Safe for Work,Joe Johnston,4.9,2014,0,0
1276,The Gunfighter,Eric Kissack,7.0,2014,0,0
1277,Heaven Adores You,Nickolas Dylan Rossi,6.8,2014,0,0
1278,Korengal,Sebastian Junger,6.8,2014,0,0
1279,America: Imagine the World Without Her,Dinesh D'Souza|John Sullivan,5.6,2014,0,0
1280,23 Blast,Dylan Baker,6.0,2014,0,0
1281,All This Mayhem,Eddie Martin,7.4,2014,0,0
1282,Plague,Kostas Ouzas|Nick Kozakis,3.9,2014,184218,0
1283,Vie Sauvage,CÃ©dric Kahn,6.0,2014,0,0
1284,Jim Gaffigan: Obsessed,Jay Chapman,7.2,2014,0,0
1285,Chelsea Handler Uganda Be Kidding Me Live,James Yukich,6.9,2014,0,0
1286,To Be Takei,Jennifer M. Kroot,6.5,2014,0,0
1287,Nas: Time Is Illmatic,One9,6.9,2014,0,0
1288,Top Gear: The Perfect Road Trip 2,,6.8,2014,0,0
1289,Treehouse,Michael G. Bartlett,3.4,2014,2993545,0
1290,Come Back to Me,Paul Leyden,5.6,2014,0,0
1291,The 10 Year Plan,J.C. Calciano,6.1,2014,0,0
1292,Ardennes Fury,Joseph J. Lawson,5.2,2014,0,0
1293,Tim Maia,Mauro Lima,6.0,2014,0,0
1294,Tracks,John Curran,7.0,2014,0,4493305
1295,Point and Shoot,Marshall Curry,7.2,2014,0,0
1296,Maidentrip,Jillian Schlesinger,7.2,2014,0,0
1297,Ballet 422,Jody Lee Lipes,6.4,2014,0,0
1298,Chelsea Peretti: One of the Greats,Lance Bangs,6.6,2014,0,0
1299,The After,Chris Carter,6.5,2014,0,0
1300,The Trip to Italy,Michael Winterbottom,6.3,2014,0,0
1301,The Dead Lands,Toa Fraser,6.0,2014,0,4826
1302,Mary Kom,Omung Kumar,7.0,2014,0,0
1303,The Green Prince,Nadav Schirman,7.5,2014,0,0
1304,Ambition,Tomek Baginski,6.9,2014,0,0
1305,Corner Gas: The Movie,David Storey,5.4,2014,7829273,0
1306,The Overnighters,Jesse Moss,6.8,2014,0,0
1307,Altar,Nick Willing,4.1,2014,0,0
1308,Happy Ending,Krishna D.K.|Raj Nidimoru,5.4,2014,0,0
1309,"Fat, Sick & Nearly Dead 2",Kurt Engfehr,6.5,2014,0,0
1310,Nowitzki: The Perfect Shot,Sebastian Dehnhardt,6.8,2014,0,0
1311,Mitt,Greg Whiteley,6.4,2014,0,0
1312,Berkshire County,Audrey Cummings,5.5,2014,0,0
1313,Des Lendemains Qui Chantent,Nicolas Castro,6.0,2014,4,0
1314,Main Tera Hero,David Dhawan,5.8,2014,0,0
1315,Happy Valley,Amir Bar-Lev,6.0,2014,0,0
1316,Kids for Cash,Robert May,7.1,2014,0,0
1317,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,David Gregory,7.1,2014,0,0
1318,Kill Dil,Shaad Ali,5.2,2014,0,0
1319,Love Me,Jonathon Narducci,7.0,2014,0,0
1320,We Still Kill the Old Way,Sacha Bennett,4.9,2014,0,0
1321,Finding Fanny,Homi Adajania,5.8,2014,2292964,0
1322,One Direction: Where We Are - The Concert,Paul Dugdale,8.3,2014,0,0
1323,Stop at Nothing: The Lance Armstrong Story,Alex Holmes,6.7,2014,0,0
1324,Humpty Sharma Ki Dulhania,Shashank Khaitan,6.4,2014,0,0
1325,Anatomy of a Love Seen,Marina Rice Bader,4.2,2014,0,0
1326,Rich Hill,Tracy Droz Tragos|Andrew Droz Palermo,7.1,2014,0,0
1327,Pantani: The Accidental Death of a Cyclist,James Erskine,6.5,2014,0,0
1328,Do I Sound Gay?,David Thorpe,5.8,2014,0,0
1329,Star Wars,George Lucas,7.9,1977,39575591,2789712242
1330,The Spy Who Loved Me,Lewis Gilbert,6.2,1977,50368934,667167740
1331,The Rescuers,John Lounsbery|Wolfgang Reitherman|Art Stevens,6.6,1977,4317337,256219102
1332,Annie Hall,Woody Allen,7.6,1977,14391124,137620251
1333,Pete's Dragon,Don Chaffey,6.4,1977,35977810,0
1334,Close Encounters of the Third Kind,Steven Spielberg,7.0,1977,71955620,1092964988
1335,A Bridge Too Far,Richard Attenborough,6.4,1977,79151182,182587387
1336,The Many Adventures of Winnie the Pooh,John Lounsbery|Wolfgang Reitherman,7.1,1977,0,0
1337,Herbie Goes To Monte Carlo,Vincent McEveety,6.4,1977,0,0
1338,Sinbad and the Eye of the Tiger,Sam Wanamaker,5.9,1977,12592233,57564496
1339,March or Die,Dick Richards,6.1,1977,0,0
1340,Saturday Night Fever,John Badham,6.3,1977,12592233,853081315
1341,High Anxiety,Mel Brooks,6.2,1977,12232455,111758008
1342,Smokey and the Bandit,Hal Needham,6.9,1977,0,455973514
1343,Pumping Iron,George Butler|Robert Fiore,7.0,1977,0,0
1344,The Gauntlet,Clint Eastwood,6.7,1977,19787795,95034155
1345,Cross of Iron,Sam Peckinpah,6.0,1977,21586686,0
1346,"New York, New York",Martin Scorsese,5.6,1977,0,0
1347,Slap Shot,George Roy Hill,7.3,1977,0,100737868
1348,The Duellists,Ridley Scott,5.9,1977,3238002,0
1349,Julia,Fred Zinnemann,5.0,1977,0,0
1350,Audrey Rose,Robert Wise,5.5,1977,0,0
1351,Exorcist II: The Heretic,John Boorman,4.6,1977,50368934,110628679
1352,Airport '77,Jerry Jameson,5.7,1977,21586686,107933430
1353,Jabberwocky,Terry Gilliam,5.8,1977,0,0
1354,Eraserhead,David Lynch,7.1,1977,35977,25184467
1355,Rolling Thunder,John Flynn,6.3,1977,0,0
1356,The Message,Moustapha Akkad,7.2,1977,0,0
1357,The Hobbit,"Jules Bass|Arthur Rankin, Jr.",5.8,1977,10793343,0
1358,The Man in the Iron Mask,Mike Newell,5.9,1977,0,0
1359,Black Sunday,John Frankenheimer,6.1,1977,0,0
1360,Candleshoe,Norman Tokar,7.1,1977,0,0
1361,The Serpent's Egg,Ingmar Bergman,5.3,1977,0,0
1362,The White Buffalo,J. Lee Thompson,5.6,1977,0,0
1363,Orca: The Killer Whale,Michael Anderson,5.0,1977,21586686,52951615
1364,Sorcerer,William Friedkin,7.4,1977,79151182,43173372
1365,The Last Wave,Peter Weir,5.8,1977,2914202,4526008
1366,"Oh, God!",Carl Reiner,5.6,1977,0,149981572
1367,3 Women,Robert Altman,6.1,1977,5396671,0
1368,Kingdom of the Spiders,John 'Bud' Cardos,5.7,1977,1798890,61162277
1369,The Car,Elliot Silverstein,6.2,1977,0,0
1370,Wizards,Ralph Bakshi,6.0,1977,4317337,32380029
1371,Rollercoaster,James Goldstone,6.0,1977,0,0
1372,The Hills Have Eyes,Wes Craven,6.0,1977,827489,89944525
1373,Demon Seed,Donald Cammell,5.2,1977,0,0
1374,The Kentucky Fried Movie,John Landis,6.2,1977,2158668,0
1375,The Island of Dr. Moreau,Don Taylor,5.1,1977,0,0
1376,Martin,George A. Romero,6.3,1977,0,0
1377,The Deep,Peter Yates,5.7,1977,0,0
1378,Empire of the Ants,Bert I. Gordon,4.6,1977,0,0
1379,Day of the Animals,William Girdler,5.5,1977,0,0
1380,The Sentinel,Michael Winner,6.3,1977,0,10
1381,The Goodbye Girl,Herbert Ross,6.5,1977,0,366973665
1382,Opening Night,John Cassavetes,6.2,1977,0,0
1383,Rabid,David Cronenberg,6.1,1977,1906823,0
1384,Shock Waves,Ken Wiederhorn,4.9,1977,719556,0
1385,Emmet Otter's Jug-Band Christmas,Jim Henson,7.5,1977,0,0
1386,Avatar,James Cameron,7.1,2009,240886902,2827123750
1387,Inglourious Basterds,Quentin Tarantino,7.7,2009,71148030,324364937
1388,Underworld: Rise of the Lycans,Patrick Tatopoulos,6.2,2009,35574015,92825002
1389,Harry Potter and the Half-Blood Prince,David Yates,7.3,2009,254100108,949276533
1390,Up,Bob Peterson|Pete Docter,7.6,2009,177870075,743337082
1391,Star Trek,J.J. Abrams,7.3,2009,152460065,392005772
1392,Terminator Salvation,McG,5.8,2009,203280086,377443351
1393,District 9,Neill Blomkamp,7.1,2009,30492013,214277144
1394,Sherlock Holmes,Guy Ritchie,6.9,2009,91476039,532622976
1395,(500) Days of Summer,Marc Webb,7.3,2009,7623003,61718613
1396,Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,6.4,2009,91476039,901228865
1397,The Hangover,Todd Phillips,7.1,2009,35574015,466802856
1398,Watchmen,Zack Snyder,6.8,2009,132132056,188297310
1399,2012,Roland Emmerich,5.6,2009,203280086,782276248
1400,9,Shane Acker,6.5,2009,30492013,49222304
1401,Angels & Demons,Ron Howard,6.3,2009,152460065,362462054
1402,The Princess and the Frog,Ron Clements|John Musker,6.5,2009,106722045,271425431
1403,The Blind Side,John Lee Hancock,7.1,2009,29475612,314279459
1404,Zombieland,Ruben Fleischer,7.1,2009,23987050,104070645
1405,The Twilight Saga: New Moon,Chris Weitz,5.6,2009,50820021,721468940
1406,He's Just Not That Into You,Ken Kwapis,6.0,2009,40656017,180166572
1407,G.I. Joe: The Rise of Cobra,Stephen Sommers,5.7,2009,177870075,307429640
1408,The Proposal,Anne Fletcher,6.7,2009,40656017,322580119
1409,The Pink Panther 2,Harald Zwart,5.5,2009,0,77115349
1410,The Ugly Truth,Robert Luketic,6.3,2009,38623216,208665898
1411,Cloudy with a Chance of Meatballs,Phil Lord|Christopher Miller,6.4,2009,101640043,246973582
1412,Fantastic Mr. Fox,Wes Anderson,7.5,2009,40656017,47233167
1413,Coraline,Henry Selick,7.1,2009,60984026,126639833
1414,Night at the Museum: Battle of the Smithsonian,Shawn Levy,5.9,2009,152460065,419881290
1415,17 Again,Burr Steers,6.0,2009,20328008,138502321
1416,A Christmas Carol,Robert Zemeckis,6.6,2009,203280086,330567839
1417,The Rebound,Bart Freundlich,5.7,2009,0,0
1418,The Lovely Bones,Peter Jackson,6.6,2009,66066028,95059446
1419,Paul Blart: Mall Cop,Steve Carr,5.4,2009,26426411,186299217
1420,Hachi: A Dog's Tale,Lasse HallstrÃ¶m,7.7,2009,16262406,48585352
1421,Law Abiding Citizen,F. Gary Gray,7.2,2009,53869223,128768508
1422,The Box,Richard Kelly,5.3,2009,30492013,33880215
1423,Crank: High Voltage,Mark Neveldine|Brian Taylor,5.9,2009,20328008,35127385
1424,Pandorum,Christian Alvart,6.2,2009,33541214,20983919
1425,Tinker Bell and the Lost Treasure,Klay Hall,6.5,2009,0,0
1426,Drag Me to Hell,Sam Raimi,6.1,2009,30492013,92332504
1427,Splice,Vincenzo Natali,5.3,2009,26426411,0
1428,Knowing,Alex Proyas,5.7,2009,50820021,157995749
1429,Moon,Duncan Jones,7.4,2009,5082002,9920173
1430,G-Force,Hoyt Yeatman,5.1,2009,152460065,297620180
1431,Van Wilder: Freshman Year,Harvey Glazer,5.0,2009,0,0
1432,The Taking of Pelham 1 2 3,Tony Scott,6.1,2009,101640043,152628915
1433,The Invention of Lying,Ricky Gervais|Matthew Robinson,5.8,2009,18803408,32436176
1434,Confessions of a Shopaholic,P.J. Hogan,6.0,2009,40656017,110109447
1435,Ghosts of Girlfriends Past,Mark Waters,5.5,2009,0,103899774
1436,Gamer,Mark Neveldine|Brian Taylor,5.6,2009,50820021,41498145
1437,Anaconda 4: Trail of Blood,Don E. FauntLeRoy,3.6,2009,0,0
1438,Mr. Nobody,Jaco Van Dormael,7.8,2009,47770820,3605384
1439,Couples Retreat,Peter Billingsley,5.3,2009,71148030,174663169
1440,Brothers,Jim Sheridan,6.7,2009,26426411,44028788
1441,The Road,John Hillcoat,6.7,2009,32524813,28088535
1442,Monsters vs Aliens,Rob Letterman|Conrad Vernon,6.0,2009,177870075,387766797
1443,Fish Tank,Andrea Arnold,6.6,2009,3049201,2396521
1444,Julie & Julia,Nora Ephron,6.5,2009,40656017,131665019
1445,Chloe,Atom Egoyan,5.9,2009,15246006,8598196
1446,Public Enemies,Michael Mann,6.5,2009,81312034,217616028
1447,Merry Madagascar,David Soren,6.3,2009,0,0
1448,Jennifer's Body,Karyn Kusama,5.2,2009,16262406,32073594
1449,Orphan,Jaume Collet-Serra,6.5,2009,20328008,42278447
1450,All About Steve,Phil Traill,4.6,2009,15246006,40763290
1451,The Final Destination,David R. Ellis,5.5,2009,40656017,189220360
1452,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,5.3,2009,76230032,450407693
1453,After.Life,Agnieszka Wojtowicz-Vosloo,5.2,2009,4573801,3665541
1454,Bride Wars,Gary Winick,5.8,2009,30492013,116543991
1455,Precious,Lee Daniels,6.8,2009,10164004,64691685
1456,State of Play,Kevin Macdonald,6.6,2009,60984026,89223892
1457,The Unborn,David S. Goyer,4.9,2009,16262406,77768913
1458,"New York, I Love You",Natalie Portman|Fatih Akin|Mira Nair|Allen Hughes|Yvan Attal|Shunji Iwai|Brett Ratner|Joshua Marston|Shekhar Kapur|Randall Balsmeyer|Wen Jiang,5.6,2009,14941086,8181684
1459,"I Love You, Man",John Hamburg,6.4,2009,41672417,93139872
1460,The Informant!,Steven Soderbergh,6.0,2009,22360809,36005808
1461,Race to Witch Mountain,Andy Fickman,5.4,2009,50820021,108047419
1462,Case 39,Christian Alvart,6.0,2009,27442811,29475612
1463,The Boat That Rocked,Richard Curtis,7.1,2009,50820021,36944919
1464,Wrong Turn 3: Left for Dead,Declan O'Brien,4.7,2009,0,0
1465,Daybreakers,Michael Spierig|Peter Spierig,5.9,2009,20328008,52259716
1466,The Time Traveler's Wife,Robert Schwentke,6.5,2009,39639616,102890004
1467,Fanboys,Kyle Newman,6.1,2009,0,964312
1468,Antichrist,Lars von Trier,6.2,2009,11180404,804853
1469,From Time to Time,Julian Fellowes,5.0,2009,0,0
1470,Love Happens,Brandon Camp,5.5,2009,18295207,36725611
1471,Push,Paul McGuigan,5.8,2009,38623216,46210949
1472,Brooklyn's Finest,Antoine Fuqua,6.1,2009,17278807,30020707
1473,Saw VI,Kevin Greutert,5.9,2009,11180404,69352690
1474,The Young Victoria,Jean-Marc VallÃ©e,6.9,2009,35574015,27859423
1475,A Serious Man,Ethan Coen|Joel Coen,6.4,2009,7114803,31945805
1476,A Perfect Getaway,David Twohy,6.1,2009,14229606,23227431
1477,Spread,David Mackenzie,5.3,2009,0,12230329
1478,Whiteout,Dominic Sena,5.2,2009,40656017,12406212
1479,The Uninvited,Charles Guard|Thomas Guard,6.0,2009,0,42306698
1480,Powder Blue,Timothy Linh Bui,6.4,2009,0,0
1481,I Love You Phillip Morris,Glenn Ficarra|John Requa,6.3,2009,13213205,10826732
1482,Enter the Void,Gaspar NoÃ©,7.1,2009,13213205,766619
1483,A Single Man,Tom Ford,7.3,2009,7114803,0
1484,12 Rounds,Renny Harlin,5.9,2009,20328008,17563730
1485,Green Street Hooligans 2,Jesse V. Johnson,5.2,2009,8131203,0
1486,3 Idiots,Rajkumar Hirani,7.8,2009,9147603,71148030
1487,Transformers: Revenge of the Fallen,Michael Bay,6.0,2009,152460065,850012865
1488,The Men Who Stare at Goats,Grant Heslov,5.8,2009,24393610,69856549
1489,Whatever Works,Woody Allen,6.7,2009,15246006,0
1490,Ninja Assassin,James McTeigue,6.1,2009,40656017,61453955
1491,Bandslam,Todd Graff,5.5,2009,20328008,5296450
1492,Where the Wild Things Are,Spike Jonze,6.3,2009,101640043,101728259
1493,It's Complicated,Nancy Meyers,6.2,2009,86394036,222697050
1494,Elsewhere,Nathan Hope,5.8,2009,508200,0
1495,The Butterfly Effect 3: Revelations,Seth Grossman,5.0,2009,0,0
1496,"I Love You, Beth Cooper",Chris Columbus,4.9,2009,18295207,0
1497,Youth in Revolt,Miguel Arteta,5.8,2009,18295207,0
1498,Land of the Lost,Brad Silberling,5.4,2009,101640043,69815357
